# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415142632;sdb;1481.30;4386.27;62357.33;45.06;3.85;2.60;0.03;4.21
axle;60;1415142632;sda;45.00;10.27;1367.33;30.61;0.02;0.51;0.14;0.63
axle;60;1415142692;sdb;1531.65;4531.33;57921.47;40.77;3.97;2.60;0.03;4.17
axle;60;1415142692;sda;62.25;12.53;2618.67;42.27;0.04;0.58;0.22;1.37
axle;60;1415142752;sdb;1606.20;4083.20;66809.07;44.14;6.15;3.83;0.04;6.31
axle;60;1415142752;sda;51.75;0.13;1813.20;35.04;0.04;0.87;0.19;0.97
axle;60;1415142812;sdb;2287.77;4215.47;64133.73;29.88;5.42;2.37;0.02;5.07
axle;60;1415142812;sda;127.00;0.00;3940.00;31.02;0.69;5.42;0.26;3.24
axle;60;1415142872;sdb;1378.88;4202.67;44176.80;35.09;5.09;3.69;0.04;4.95
axle;60;1415142872;sda;16.02;0.00;696.53;43.49;0.01;0.72;0.20;0.33
axle;60;1415142932;sdb;2697.98;4364.80;72269.07;28.40;6.28;2.33;0.02;6.27
axle;60;1415142932;sda;7.85;9.87;444.67;57.90;0.00;0.57;0.18;0.14
axle;60;1415142992;sdb;1725.82;4347.87;47795.07;30.21;3.91;2.27;0.02;4.23
axle;60;1415142992;sda;34.45;4.40;1037.07;30.23;0.02;0.69;0.13;0.45
axle;60;1415143052;sdb;1932.95;4334.93;51562.27;28.92;7.96;4.12;0.04;6.89
axle;60;1415143052;sda;11.48;0.27;858.00;74.74;0.00;0.40;0.16;0.18
axle;60;1415143112;sdb;2042.78;4168.53;57382.67;30.13;4.53;2.22;0.02;4.79
axle;60;1415143112;sda;7.92;0.00;453.47;57.28;0.00;0.03;0.02;0.01
axle;60;1415143172;sdb;2276.40;4236.80;59619.87;28.05;5.77;2.54;0.03;6.45
axle;60;1415143172;sda;6.85;0.27;426.13;62.25;0.00;0.57;0.08;0.05
axle;60;1415143232;sdb;2547.30;4535.73;63497.33;26.71;5.96;2.34;0.02;5.31
axle;60;1415143232;sda;8.62;0.00;474.13;55.03;0.00;0.22;0.05;0.05
axle;60;1415143292;sdb;101.28;5218.13;13702.13;186.81;0.17;1.68;0.10;0.98
axle;60;1415143292;sda;5.40;1.07;680.67;126.25;0.00;0.14;0.05;0.03
axle;60;1415143352;sdb;894.47;5098.67;24296.27;32.86;2.46;2.75;0.03;2.47
axle;60;1415143352;sda;3.92;0.00;360.27;91.98;0.00;0.20;0.07;0.03
axle;60;1415143412;sdb;857.22;5086.00;23747.47;33.64;2.60;3.04;0.03;2.67
axle;60;1415143412;sda;4.28;0.00;669.87;156.39;0.00;0.33;0.03;0.01
axle;60;1415143472;sdb;1427.02;5132.80;33382.80;26.99;3.95;2.77;0.03;3.85
axle;60;1415143472;sda;4.00;0.00;360.13;90.03;0.00;0.00;0.00;0.00
axle;60;1415143532;sdb;981.47;5231.07;27111.73;32.95;3.02;3.08;0.03;3.13
axle;60;1415143532;sda;4.55;0.00;677.87;148.98;0.00;0.29;0.06;0.03
axle;60;1415143592;sdb;1054.92;5179.73;26758.00;30.28;3.26;3.09;0.03;3.21
axle;60;1415143592;sda;4.25;1.20;362.40;85.55;0.00;0.08;0.08;0.03
axle;60;1415143652;sdb;1016.53;5384.53;27993.33;32.83;2.92;2.88;0.03;3.10
axle;60;1415143652;sda;5.40;0.00;685.33;126.91;0.00;0.58;0.02;0.01
