# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415142632;1615460;262504096;99.39;127640;216769344;142060436;51.91;185911276;67029116
axle;60;1415142692;1558096;262561460;99.41;120764;215973052;142873320;52.20;186287396;66712856
axle;60;1415142752;1313084;262806472;99.50;120896;215809460;143325008;52.37;186796396;66451704
axle;60;1415142812;1330604;262788952;99.50;119696;212574812;146605500;53.57;185751988;67453948
axle;60;1415142872;9829240;254290316;96.28;119544;212152404;138525504;50.61;177106228;67614360
axle;60;1415142932;4873904;259245652;98.15;119792;212313720;143396628;52.39;182084864;67603940
axle;60;1415142992;5384268;258735288;97.96;119988;212172880;142995588;52.25;181596756;67531100
axle;60;1415143052;5562208;258557348;97.89;120244;212302708;142693788;52.14;181471516;67536596
axle;60;1415143112;8142472;255977084;96.92;120488;212462904;140016528;51.16;178879820;67538748
axle;60;1415143172;5349332;258770224;97.97;120720;212607852;142663800;52.13;181673948;67538752
axle;60;1415143232;13982016;250137540;94.71;120944;212712192;134573392;49.17;173431460;67523784
axle;60;1415143292;13807364;250312192;94.77;121172;212925112;134248876;49.05;173562524;67587396
axle;60;1415143352;13643784;250475772;94.83;121356;213089528;134263420;49.06;173711360;67606528
axle;60;1415143412;13444284;250675272;94.91;121660;213286516;134276044;49.06;173859852;67656372
axle;60;1415143472;13259720;250859836;94.98;121860;213473796;134275736;49.06;174005168;67698160
axle;60;1415143532;13053488;251066068;95.06;122068;213679016;134284340;49.07;174154740;67751712
axle;60;1415143592;12886572;251232984;95.12;122272;213845296;134266604;49.06;174315492;67759556
axle;60;1415143652;12666392;251453164;95.20;122460;214063936;134260408;49.06;174482292;67810368
