Linux 3.11.0-17-generic (axle) 	04/11/14 	_x86_64_	(64 CPU)

22:47:54        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:48:54        all      6.42      0.00      1.19      0.20      0.00     92.19
22:49:54        all      4.39      0.00      0.61      0.14      0.00     94.86
22:50:54        all      3.19      0.00      0.39      0.08      0.00     96.33
22:51:54        all      3.21      0.00      0.37      0.03      0.00     96.39
22:52:54        all      4.06      0.00      0.85      0.16      0.00     94.93
22:53:54        all      5.55      0.00      0.86      0.40      0.00     93.19
22:54:54        all      4.10      0.00      0.36      0.10      0.00     95.44
22:55:54        all      3.32      0.00      0.22      0.00      0.00     96.46
22:56:54        all      3.25      0.00      0.29      0.01      0.00     96.45
22:57:54        all      3.02      0.00      0.49      0.08      0.00     96.41
22:58:54        all      4.49      0.00      0.65      0.04      0.00     94.82
22:59:54        all      3.28      0.00      0.25      0.06      0.00     96.41
