# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415141334;37175568;226943988;85.92;122748;189655988;134180556;49.03;153078848;64947884
axle;60;1415141394;32042060;232077496;87.87;122976;194794748;134094392;49.00;157254832;65907224
axle;60;1415141454;30009156;234110400;88.64;123144;196839072;134110536;49.00;159287940;65924020
axle;60;1415141514;27936424;236183132;89.42;123320;198906744;134110536;49.00;161350348;65934756
axle;60;1415141574;21337264;242782292;91.92;123492;200407384;139897232;51.12;167954052;65939840
axle;60;1415141634;15467072;248652484;94.14;123684;202968560;142422312;52.04;171387768;68349364
axle;60;1415141694;18078428;246041128;93.16;123984;204507044;138229552;50.51;167336432;69739604
axle;60;1415141754;17271060;246848496;93.46;124156;205315356;138229552;50.51;167487628;70405944
axle;60;1415141814;15805136;248314420;94.02;124344;206753196;138229552;50.51;168530000;70777628
axle;60;1415141874;16880880;247238676;93.61;124560;206557584;137484244;50.23;166860324;71342840
axle;60;1415141934;10713488;253406068;95.94;124744;209422676;140971320;51.51;170295348;74056144
axle;60;1415141994;15605300;248514256;94.09;124976;210972580;134152316;49.02;163970504;75457848
