# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415142074;10957912;253161644;95.85;125508;215527772;134245828;49.05;162079492;81967532
axle;60;1415142134;10415104;253704452;96.06;125656;215680468;134619236;49.19;163110360;81475516
axle;60;1415142194;9288884;254830672;96.48;125816;215832948;135620624;49.55;172552084;73149780
axle;60;1415142254;10630124;253489432;95.98;125968;215986568;134128144;49.01;172472120;71865484
axle;60;1415142314;10331336;253788220;96.09;126136;216141868;134246372;49.05;173877636;70775672
axle;60;1415142374;10186532;253933024;96.14;126320;216295876;134218288;49.04;174055108;70738112
axle;60;1415142434;10157492;253962064;96.15;126480;216447332;134110688;49.00;174072264;70746656
axle;60;1415142494;9999392;254120164;96.21;126636;216600076;134107680;49.00;174646180;70333156
axle;60;1415142554;9822784;254296772;96.28;126820;216768872;134129676;49.01;176766924;68371136
