Linux 3.11.0-17-generic (axle) 	04/11/14 	_x86_64_	(64 CPU)

23:00:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:01:14        all      2.83      0.00      0.70      0.07      0.00     96.41
23:02:14        all      3.09      0.00      0.45      0.04      0.00     96.42
23:03:14        all      3.03      0.00      0.55      0.00      0.00     96.42
23:04:14        all      3.05      0.00      0.51      0.00      0.00     96.44
23:05:14        all      3.13      0.00      0.45      0.00      0.00     96.42
23:06:14        all      2.91      0.00      0.69      0.00      0.00     96.41
23:07:14        all      3.24      0.00      0.28      0.00      0.00     96.48
23:08:14        all      2.95      0.00      0.61      0.00      0.00     96.43
23:09:14        all      2.96      0.00      0.63      0.00      0.00     96.42
